username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-11-30 07:58;0;0;"''Tis the Season. Snapping ice skaters on my walk home. # officialhomeofwinter @Clinton Square https://www.instagram.com/p/BNadDD0jrem/";;@Clinton;#;"803750003164315648";https://twitter.com/NikitaJankowski/status/803750003164315648
;2016-11-30 07:58;0;0;"u ain't got no yeezy in ur serato? @Clinton Hill, Brooklyn https://www.instagram.com/p/BNac_5eguOq/";;@Clinton;;"803749893332410371";https://twitter.com/JADALAREIGN/status/803749893332410371
;2016-11-30 07:48;0;1;"Remember when Bahrain's contributions to the Clinton Foundation were a major issue? https://twitter.com/politico/status/803738836153106432 …";;;;"803747599870214145";https://twitter.com/postingexpert/status/803747599870214145
;2016-11-30 07:06;0;1;"Jeffrey James on the search for beach glass at Port Clinton City… https://www.instagram.com/p/BNaXJG2g2RoMCpjnfOKruy8DI6gP-qN5EUq_DQ0/ …";;;;"803737014835101696";https://twitter.com/jess_o_lantern/status/803737014835101696
;2016-11-30 06:52;0;1;"I'm at @ LedoPizza in Clinton, MD https://www.swarmapp.com/c/bNyRj7DkEKJ";;@;;"803733336653004802";https://twitter.com/Naya2000/status/803733336653004802
;2016-11-30 06:50;0;0;"I'm at @ DollarTree in Clinton, MD https://www.swarmapp.com/c/lODkW8kRK7j";;@;;"803733016744820736";https://twitter.com/Naya2000/status/803733016744820736
;2016-11-30 06:50;0;0;"I'm at Starbucks in Clinton, MD https://www.swarmapp.com/c/4FmKLiimvK4";;;;"803732873597616128";https://twitter.com/Naya2000/status/803732873597616128
;2016-11-30 06:48;0;0;"I'm at @ BaskinRobbins in Clinton, MD https://www.swarmapp.com/c/3idzcLIh9Ym";;@;;"803732454657753088";https://twitter.com/Naya2000/status/803732454657753088
;2016-11-30 06:48;0;0;"I'm at America"s Best wings in Clinton, MD https://www.swarmapp.com/c/7fTrXDRGOK4";;;;"803732374051844096";https://twitter.com/Naya2000/status/803732374051844096
;2016-11-30 06:30;0;0;"I'm at Genbu-Kai Karate of Michigan in Clinton Township, MI https://www.swarmapp.com/c/6iKi5Vjy7XA";;;;"803727868962467840";https://twitter.com/WarriorBetsy/status/803727868962467840
