username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-05-30 07:34;0;0;"@ JohnAvlon I appreciate what you said about Hillary on CNN with Stelter and Jane. You were great in putting her situation into perspective.";;@;;"737064529692004353";https://twitter.com/drtyronegray20/status/737064529692004353
;2016-05-30 07:12;1;0;"Gov. Hickenlooper Defends Supporting Hillary Clinton On ‘Face The Nation’ http://cbsloc.al/24fvKQ4";;;;"737058978027298816";https://twitter.com/DenverCP/status/737058978027298816
;2016-05-30 07:05;0;0;"can't stand chris Matthews, Clinton and msnbc. All 3 are corrupt. Boycott them all!!";;;;"737057243309297664";https://twitter.com/MarcSgordon/status/737057243309297664
;2016-05-30 07:04;0;1;"Hillary candidacy falling apart. Hillary's racist supporters like Schiff trying to shift blame to Sec'yColin Powell pic.twitter.com/i2L21ImKBn";;;;"737057024349896704";https://twitter.com/Hollywooddems/status/737057024349896704
;2016-05-30 05:40;0;1;"Heaven Father only Gave One the Title of One Son Jesus Christ &the power 2 judge man no other have that Annoited but MaryGTJ";;;;"737035981380038656";https://twitter.com/BerryTonette/status/737035981380038656
;2016-05-30 05:38;0;1;"Read the word of God child is not before the sperm or egg that it was formed from The Mothers & Fathers Need Liberty 4allGTJ";;;;"737035291534471168";https://twitter.com/BerryTonette/status/737035291534471168
;2016-05-30 05:35;0;1;"End Buck Breakin that u and I know is still being use2control the colors of this Nation That 1 Under God Not Man Lust eyeGTJ";;;;"737034536052199429";https://twitter.com/BerryTonette/status/737034536052199429
;2016-05-30 05:31;0;1;"End threats against the natural nature of Mankind this is number1 killer of all children rape sex traffic Homosexual cultGTJ";;;;"737033719073124352";https://twitter.com/BerryTonette/status/737033719073124352
;2016-05-30 05:25;0;1;"End Homosexuality Sin of Abomination Blasphemy against God put breath in lung Not man so do God Will first not your own GTJ";;;;"737032128446255104";https://twitter.com/BerryTonette/status/737032128446255104
;2016-05-30 04:30;0;0;"@ KatyTurNBC You must be very proud of yourself after saying that Hillary is still dealing with the email issue. Well as long as people";;@;;"737018410656112640";https://twitter.com/drtyronegray20/status/737018410656112640
;2016-05-30 02:57;0;1;"Honestly Sen. Feinstein, instead of the media dropping Hillary's email scandal story, you should tell her to drop out of the POTUS race.";;;;"736994967441289220";https://twitter.com/GeorgeSoreus/status/736994967441289220
;2016-05-30 01:25;0;0;"@ chucktodd @ HillaryClinton is unpopular because her political expedience not @ realDonaldTrump or @ SenSanders";;@ @ @ @;;"736971707462897664";https://twitter.com/Faith2820/status/736971707462897664
;2016-05-30 00:22;0;0;"Now what! Do u think Obama will now appoint a Jewish judge for Hillary's email case because of Jewish Monica Lewinsky?";;;;"736955926410760192";https://twitter.com/theclodster1/status/736955926410760192
;2016-05-30 00:15;0;0;"Hillary camp attacking chucks wife because he brought up Hillary in a negative light lol # misogynist";;;#;"736954152174116864";https://twitter.com/WhereLifego3s/status/736954152174116864
;2016-05-30 00:06;0;1;"I've never seen someone with such hatred for white people in my life";;;;"736951801145090048";https://twitter.com/drunkbeater/status/736951801145090048
;2016-05-29 23:29;0;0;"@ RuthMarcus @ Peggynoonannyc Trump will fight for women, Hillary will fight women for BC";;@ @;;"736942529204133888";https://twitter.com/fish2earth/status/736942529204133888
;2016-05-29 23:21;0;0;"@ HowardKurtz you just did about Hillary Rodham Clinton and media helping her.what you claimed doesn't happen";;@;;"736940656199766016";https://twitter.com/bruce_laslie/status/736940656199766016
;2016-05-29 23:16;0;1;"If Elected, Hillary Clinton Would Want Beyonce As Her VP (VIDEO) http://dlvr.it/LQzHV6 pic.twitter.com/IRzAHUDV0j";;;;"736939299472441345";https://twitter.com/hot995/status/736939299472441345
;2016-05-29 22:43;0;1;"" @ roqchams: Hillary Clinton. Minority. https://twitter.com/roqchams/status/736787222192476161/photo/1pic.twitter.com/Z4Ig9pgkWG " this is why Donald is doing well over victimization";;@;;"736930927373373441";https://twitter.com/WhereLifego3s/status/736930927373373441
;2016-05-29 22:35;0;0;"@ FoxNewsSunday Only children use this excuse that someone else did it so I am not in trouble. Hillary broke the law.Period. # CaughtRedHanded";;@;#;"736928981769932801";https://twitter.com/pengd2014/status/736928981769932801
;2016-05-29 22:25;0;0;"in prison????";;;;"736926398867197952";https://twitter.com/OnlyOneRaleigh/status/736926398867197952
;2016-05-29 22:10;0;0;"Maria Corina is a confused lady, Trump is for women, Hillary is against women who were h-ased by Bill";;;;"736922608105558016";https://twitter.com/fish2earth/status/736922608105558016
;2016-05-29 21:44;0;0;"RT @ TheLastRefuge2: ‘Splodey Head Alert – Oregon Poll: Donald Trump 53%, Hillary Clinton 26% (cont) http://tl.gd/nmem6b";;@;;"736916007651028993";https://twitter.com/MJScanlonOH/status/736916007651028993
;2016-05-29 21:32;0;0;"# NoCanDo, and a great Hillary Linguistic Kill Shot: # NoCanDoHillarypic.twitter.com/VcvPAG5SED";;;# #;"736913184599080960";https://twitter.com/GuruHandyman/status/736913184599080960
;2016-05-29 21:15;0;1;". @ ABC We want honesty,integrity,accountability,responsibility,Hillary smoke leaves no question about the potential for fire.";;@;;"736908726179794944";https://twitter.com/Blue_French_Qtr/status/736908726179794944
;2016-05-29 21:06;2;3;"Hillary Clinton wants you to remember the 1990s http://www.sacbee.com/news/politics-government/capitol-alert/article80403607.html?utm_source=dlvr.it&utm_medium=twitter#storylink=rss …";;;#storylink;"736906578406707200";https://twitter.com/CapitolAlert/status/736906578406707200
;2016-05-29 19:38;0;0;"@ EugeneDaniels2 Forward thinking, and you would've have been fooled. But of course Hillary knew Trump would never go through with it.";;@;;"736884375430660096";https://twitter.com/drtyronegray20/status/736884375430660096
;2016-05-29 19:36;0;0;"Did Hillary break any laws?";;;;"736883862660337664";https://twitter.com/betsylebeau/status/736883862660337664
;2016-05-29 19:32;0;0;"@ EugeneDaniels2 Your report on Hillary being hurt by the fact that a debate was mentioned was wrong. First of all, if you were a good";;@;;"736882876432551936";https://twitter.com/drtyronegray20/status/736882876432551936
;2016-05-29 16:14;0;0;"@ clanceman65 RT Bernie is a one man Dumb and Dumber. It's just scary how our younger people relate. RT. & Women want Hillary";;@;;"736832989624160256";https://twitter.com/GaryHewes/status/736832989624160256
