username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-10-30 07:46;0;0;"According to @ CNNgo @ realdonaldtrump is going to just into another scandal about @ HillaryClinton e-mails. Anyways I'm go with Her.";;@ @ @;;"792512872819503104";https://twitter.com/BiochemistMX/status/792512872819503104
;2016-10-30 07:45;0;0;"I'm at Bill and Hillary Clinton National Airport (LIT) - @ litairport in Little Rock, AR https://www.swarmapp.com/c/21TPPiappr2";;@;;"792512737591066625";https://twitter.com/Jackson4s/status/792512737591066625
;2016-10-30 07:44;0;0;"Hillary and Obama showed up at Alexandra's Halloween party! @Pine Lake Golf & Tennis https://www.instagram.com/p/BMKm0RCgiAv/";;@Pine;;"792512483865063426";https://twitter.com/DrSueSwearer/status/792512483865063426
;2016-10-30 07:39;0;0;"San Diego trends now: Hillary, AztecFB, GoSpursGo, NationalCatDay and UWvsUTAH. http://toplocalnow.com/us/san-diego?section=trends …";;;;"792511109148225536";https://twitter.com/SanDiegoCP/status/792511109148225536
;2016-10-30 07:15;0;0;"Hillary won't get any advice from Martha.";;;;"792505105102745600";https://twitter.com/jkruzel25/status/792505105102745600
;2016-10-30 07:14;1;1;"If Hillary even comes close to winning I will wonder what happened to the morality of this Great Country.Sad.";;;;"792504827385294848";https://twitter.com/jkruzel25/status/792504827385294848
;2016-10-30 07:13;0;2;"@ JessicaTarlov What has Hillary done her doubters ask? pic.twitter.com/tu3lE1WTjB";;@;;"792504582731599872";https://twitter.com/RobertH87748632/status/792504582731599872
;2016-10-30 07:09;0;0;"I heard Hillary wants to make abortion legal no matter how far along you are so fuck that shit there are more candidates then trump and hill";;;;"792503676292173824";https://twitter.com/prime1211/status/792503676292173824
;2016-10-30 06:56;0;0;"If you believe Hillary Clinton should be elected POTUS on November 8, and can find the time,… https://www.instagram.com/p/BMKhQskB3uK/";;;;"792500271272251393";https://twitter.com/charleslfreemn/status/792500271272251393
;2016-10-30 06:54;0;0;"Maybe Hillary will be reborn again? pic.twitter.com/3RWpZZ8f5J";;;;"792499866253398016";https://twitter.com/jkruzel25/status/792499866253398016
;2016-10-30 06:50;0;0;"Houston trends now: Jeezy, Hillary, Lamar Jackson, Del Rio, GoCoogs and txhsfb. http://toplocalnow.com/us/houston?section=trends …";;;;"792498778045460481";https://twitter.com/Houston_CP/status/792498778045460481
;2016-10-30 06:48;0;0;"Boston Mayor Marty Walsh is the latest Mass. Democrat heading out of state to drum up support for Hillary Clinton.… https://twitter.com/i/web/status/792478617120960514 …";;;;"792498269670649856";https://twitter.com/Boston_CP/status/792498269670649856
;2016-10-30 06:48;0;0;"San Diego trends now: Hillary, AztecFB, GoSpursGo, NationalCatDay and SignsAtTheGatesOfHell. http://toplocalnow.com/us/san-diego?section=trends …";;;;"792498262817202176";https://twitter.com/SanDiegoCP/status/792498262817202176
;2016-10-30 06:44;0;0;"http://www.mostdamagingwikileaks.com/ @ realDonaldTrump @ mike_pence @ seanhannity @ HillaryClinton @ timkaine # MAGA # DrainTheSwamp";;@ @ @ @ @;# #;"792497264044363776";https://twitter.com/MarcKurtz_Jr/status/792497264044363776
;2016-10-30 06:32;0;1;"We ready 4 our future president Hillary Clinton. And J-Lo!!! # HillaryClintonCampaign https://www.swarmapp.com/c/jIncJVyfqy9 pic.twitter.com/0Y0XJp7k6r";;;#;"792494242300067840";https://twitter.com/GabrielCruz80/status/792494242300067840
;2016-10-30 06:28;0;0;"# DreamTeamAdrianoEspaillat # AdrianoEspaillat for # HILLARY… https://www.instagram.com/p/BMKeG3ZD5cMUFVIJSYukBFZmWk11MHq5xUcUQw0/ …";;;# # #;"792493333100855297";https://twitter.com/laina1212/status/792493333100855297
;2016-10-30 06:27;0;0;"# DreamTeamAdrianoEspaillat # AdrianoEspaillat for # HILLARY @City Of… https://www.instagram.com/p/BMKd_uWjSSrhMog1lQKSuaUF5BQKh92yAqBfSM0/ …";;@City;# # #;"792493088077914113";https://twitter.com/laina1212/status/792493088077914113
