username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-04-30 07:41;0;0;"Having a little food in Clinton! (@Alteri's Restaurant & Bar in Clinton, NY) https://www.swarmapp.com/c/lcIariKh8DK";;@Alteri;;"726194818804781056";https://twitter.com/derekkoch/status/726194818804781056
;2016-04-30 07:37;0;0;"Clooney, Clinton and the Class of Cluelessness http://www.hundredeightydegrees.com/articles/2016/4/20/george-clooney-just-bought-hillary-clintons-left-hand …";;;;"726193643762143232";https://twitter.com/gohundredeighty/status/726193643762143232
;2016-04-30 07:24;0;0;"Cleared: Incident on # GardenStateParkway NB from Exit 144 - CR 510 to South of Exit 147 - Clinton Ave";;;#;"726190441490731008";https://twitter.com/511NY/status/726190441490731008
;2016-04-30 07:11;0;0;"Taking the kids to give their mom a break. (@South Clinton Park in Clinton, TN) https://www.swarmapp.com/c/dfzo6z3Tkzd";;@South;;"726187218818220036";https://twitter.com/sjmounger/status/726187218818220036
;2016-04-30 07:04;0;4;"Great evening tonight listening to Chelsea Clinton talk about her mom hillaryclinton # imwithher… https://www.instagram.com/p/BEzUvRuwa5E/";;;#;"726185376243699712";https://twitter.com/cmckayok/status/726185376243699712
;2016-04-30 07:01;0;0;"I'm at Fifth Third Field - @ dragonsbaseball for Dayton Dragons vs. Clinton Lumberkings in Dayton, OH https://www.swarmapp.com/c/gkxWiylSThM";;@;;"726184655523856384";https://twitter.com/zachupton/status/726184655523856384
;2016-04-30 06:51;0;0;"Update: Incident on # GardenStateParkway NB from Exit 144 - CR 510 to South of Exit 147 - Clinton Ave http://511ny.org/EventDetails/TRANSCOM/ORI123990201 …";;;#;"726182152124153857";https://twitter.com/511NY/status/726182152124153857
;2016-04-30 06:38;0;0;"Hillary Clinton received more donations from LA real estate interests than any other candidate, by a… http://dlvr.it/LBN1GC # Granada Hills";;;#;"726178789848272896";https://twitter.com/LoansHomes/status/726178789848272896
;2016-04-30 06:38;0;0;"Hillary Clinton received more donations from LA real estate interests than any other candidate, by a ... http://dlvr.it/LBN1Bk";;;;"726178783149981696";https://twitter.com/EnriqueCampos7/status/726178783149981696
;2016-04-30 06:32;0;1;"I'm at Fifth Third Field - @ dragonsbaseball for Dayton Dragons vs. Clinton Lumberkings in Dayton, OH w/ @ cultsinger https://www.swarmapp.com/c/katayWcniET";;@ @;;"726177355052535808";https://twitter.com/CoryDDMiller/status/726177355052535808
;2016-04-30 05:57;0;0;"You are definitely appreciated! @Clinton, Mississippi https://www.instagram.com/p/BEzNDpPRAdQ/";;@Clinton;;"726168482946158592";https://twitter.com/VEVASolutions/status/726168482946158592
;2016-04-30 05:52;0;0;"Responding to MVA near W Clinton Ave & N Weber Ave in Fresno http://google.com/maps/place/@36.771960,-119.834090,17z/data=!4m2!3m1!1s0x0:0x0!5m1!1e1 …";;@36;;"726167205096747009";https://twitter.com/AmericanAmb/status/726167205096747009
;2016-04-30 05:42;0;2;"I'm at Fifth Third Field - @ dragonsbaseball for Dayton Dragons vs. Clinton Lumberkings in Dayton, OH https://www.swarmapp.com/c/45oAqJeRIRs";;@;;"726164826016366592";https://twitter.com/RedLegsRobby/status/726164826016366592
;2016-04-30 05:19;0;0;"What an honor it was to catch a legendary founding father of Funk music..Mr. George Clinton! He… https://www.instagram.com/p/BEzIuNhiavv/";;;;"726158948756279296";https://twitter.com/areynamusic/status/726158948756279296
;2016-04-30 05:12;0;1;"Shooting video of Let's Move Festival of Races Expo (@Concorde Inn in Clinton Township, MI) https://www.swarmapp.com/c/j3Jix2GVlAY pic.twitter.com/sW1zOjk9w3";;@Concorde;;"726157175777845248";https://twitter.com/carter84262/status/726157175777845248
;2016-04-30 05:04;0;0;"# PhoenixLostFound Found a Yellow Bird (888 E Clinton Street): Found a yellow parakeet bird at the property "Green… http://cur.lv/y13ti";;;#;"726155157453430784";https://twitter.com/Phoenix_LAF/status/726155157453430784
;2016-04-30 05:03;0;0;"Accident cleared-road reopened in # Buffalo on Elm St Both NB/SB at S Division St and before Clinton St # traffic http://bit.ly/12qHu3L";;;# #;"726154893627527168";https://twitter.com/TotalTrafficBUF/status/726154893627527168
;2016-04-30 05:02;0;0;"Clinton: Experience with men 'off the reservation' @ CNNPolitics http://cnn.it/1WXF1Ms # racistmuchhillary # notpresidentmaterial";;@;# #;"726154599292391425";https://twitter.com/INDIGZ_kiddigz/status/726154599292391425
;2016-04-30 04:45;1;2;"Can't wait for SCDP convention tomorrow - I'll be running as a delegate for Clinton and hope I… https://www.instagram.com/p/BEzE1OAp3E0/";;;;"726150394313867269";https://twitter.com/bradyqg/status/726150394313867269
;2016-04-30 04:31;0;0;"Closed due to accident in # Buffalo on Elm St Both NB/SB at S Division St and before Clinton St # traffic http://bit.ly/12qHu3L";;;# #;"726146972504100864";https://twitter.com/TotalTrafficBUF/status/726146972504100864
