username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-06-30 07:52;0;0;"Practicing my slaw skills for the weekend @Clinton Hill, Brooklyn https://www.instagram.com/p/BHQevP9A2H_/";;@Clinton;;"748303148066947072";https://twitter.com/emziemski/status/748303148066947072
;2016-06-30 07:50;1;1;"Poll: Clinton Extends Lead Over Trump http://bit.ly/296Mojk";;;;"748302633845198848";https://twitter.com/FOX40/status/748302633845198848
;2016-06-30 07:41;38;59;"538's first electoral vote projection has Clinton doubling up on Trump. http://j.mp/295onbm";;;;"748300364894461952";https://twitter.com/pbump/status/748300364894461952
;2016-06-30 07:33;47;48;"Mitch McConnell says Trump is not credible as president; Clinton is "intelligent and capable." http://j.mp/295nPlX";;;;"748298382423130112";https://twitter.com/pbump/status/748298382423130112
;2016-06-30 07:18;0;0;"I'm at Pool Town in Clinton Township, MI https://www.swarmapp.com/c/3Pl2T4OGTJg";;;;"748294491275206656";https://twitter.com/quenomeleas03/status/748294491275206656
;2016-06-30 07:13;0;0;"@ greta # greta Except for Cairo & # Benghazi itself # obama and # Clinton caused the rest of the unrest in region by talking about video. Bad!!";;@;# # # #;"748293332196073473";https://twitter.com/DarlstephL/status/748293332196073473
;2016-06-30 07:08;0;0;"Bill Clinton and AG Lynch met secretly. WHY?";;;;"748292163725721600";https://twitter.com/sergiorodriguer/status/748292163725721600
;2016-06-30 07:07;0;0;"Bible study of a great God! (@Mt Ennon Baptist Church in Clinton, MD) https://www.swarmapp.com/c/gI0G2EYGGfa";;@Mt;;"748291842152730625";https://twitter.com/MsRico626/status/748291842152730625
;2016-06-30 07:04;0;0;"Caught off guard lol by Oceana @Clinton Township, Michigan https://www.instagram.com/p/BHQZPlrDGEg/";;@Clinton;;"748291066118475776";https://twitter.com/DareDevilDenise/status/748291066118475776
;2016-06-30 06:41;0;0;"I'm at John R Armstrong Performing Arts Center in Clinton Township, MI https://www.swarmapp.com/c/1hJhzkNYHcy";;;;"748285282127069184";https://twitter.com/davguz/status/748285282127069184
;2016-06-30 06:41;0;0;"I'm at John R Armstrong Performing Arts Center in Clinton Township, MI https://www.swarmapp.com/c/jzzkllB3Yrw";;;;"748285281585987584";https://twitter.com/davguz/status/748285281585987584
;2016-06-30 06:39;0;1;"Richard Cagle would love to show you the # listing at 285 Evans Lane # Clinton # KY http://tour.circlepix.com/home/729KDR # realestatepic.twitter.com/EIdjyG8AZu";;;# # # #;"748284727891681281";https://twitter.com/KWmurraypaducah/status/748284727891681281
;2016-06-30 06:15;1;6;"Salute ahmadquazi @ mia_lj @elenipnyc They are working !!!! @Clinton Street Baking Company https://www.instagram.com/p/BHQTrnsB5-y/";;@ @elenipnyc @Clinton;;"748278840342937600";https://twitter.com/INSHALLAHCLOTHI/status/748278840342937600
;2016-06-30 06:07;0;0;"See a video tour of our # listing 3139 Clinton Avenue # Berwyn # IL http://tour.illinoisproperty.com/video/549b7977572a54f0a33f8 … # realestatepic.twitter.com/o4Xbdv9xg1";;;# # # #;"748276708487233536";https://twitter.com/remaxnaperville/status/748276708487233536
;2016-06-30 06:02;1;0;"mom, I want a horse @Port Clinton, Ohio https://www.instagram.com/p/BHQQkyuhjhx/";;@Port;;"748275373436133376";https://twitter.com/gabrielleholly_/status/748275373436133376
;2016-06-30 06:00;0;0;"We are looking for a buyer on 2257 St. Rte. 307 N. # Clinton # KY http://tour.circlepix.com/home/RH36U4 # realestatepic.twitter.com/yYR8D7LKpe";;;# # #;"748274980345937921";https://twitter.com/KWmurraypaducah/status/748274980345937921
;2016-06-30 05:52;0;0;"@ DavidMuir I don't think the country is ready for two women in the WH. Clinton should pick Bernie for VP to keep Trump out.";;@;;"748273058381598721";https://twitter.com/funnycat38/status/748273058381598721
;2016-06-30 05:42;2;2;"# leicam6 # rolleirpx25 @Clinton Hill, Brooklyn https://www.instagram.com/p/BHQP15HjTyW/";;@Clinton;# #;"748270444793446400";https://twitter.com/TheAdamGoldberg/status/748270444793446400
;2016-06-30 05:36;0;0;"Jacksonville trends now: Benghazi, Istanbul, Olympics, Clinton, HeterosexualPrideDay and GrowingUpWithMyName. http://toplocalnow.com/us/jacksonville?section=trends …";;;;"748268946072035328";https://twitter.com/JacksonvilleCP/status/748268946072035328
;2016-06-30 05:24;0;0;"Update: Incident on # GardenStateParkway SB from South of Exit 149 - CR 506 to South of Exit 147 - Clinton Ave http://511ny.org/EventDetails/TRANSCOM/ORI129491401 …";;;#;"748265865930477569";https://twitter.com/511NY/status/748265865930477569
;2016-06-30 04:52;1;6;"Went to our local library and spotted this gorgeous midcentury nogahyde chair. @Clinton Library https://www.instagram.com/p/BHQJ_E2jYxo/";;@Clinton;;"748257807397445632";https://twitter.com/Gypsy_Kitsch/status/748257807397445632
;2016-06-30 04:32;1;0;"Cleared: Construction on # NY78 Both directions from Bullis Road; Transit Road; US 20 to Clinton Street; NY 354";;;#;"748252806147096576";https://twitter.com/511nyWNY/status/748252806147096576
;2016-06-30 04:15;3;2;"Hillary Clinton’s Initiative on # Technology, # Innovation & # Entrepreneurship! Another reason why # ImWithHer! http://ow.ly/yN6x100cUv4";;;# # # #;"748248506964578304";https://twitter.com/Joseph_Santoro/status/748248506964578304
;2016-06-30 03:21;0;1;"mehhh. (@Clinton Memorial airport in Clinton, MO) https://www.swarmapp.com/c/31CTJZjrvDe";;@Clinton;;"748235036940468224";https://twitter.com/unclefuzz/status/748235036940468224
;2016-06-30 03:09;1;0;"DID THE OBAMA-CLINTON ADMINISTRATION SEND $500M TO AN IRANIAN FRONT, SYRIA!? http://frankierusso.media/blog/2016/6/28/did-the-obama-clinton-administration-send-500m-to-an-iranian-front-syria …";;;;"748231906907533312";https://twitter.com/FrankieRusso1/status/748231906907533312
;2016-06-30 02:58;0;0;"(@Taco Bell in Clinton, MO) https://www.swarmapp.com/c/8CZMLICiKF9";;@Taco;;"748229138855628800";https://twitter.com/unclefuzz/status/748229138855628800
;2016-06-30 02:57;0;0;"Hillary Clinton’s support among registered voters across America has slipped — but so has Donald Trump’s http://nyp.st/292P81V";;;;"748228838996381696";https://twitter.com/NewYorkCP/status/748228838996381696
;2016-06-30 02:55;0;0;"red sky night | sailors delight @Port Clinton, Ohio https://www.instagram.com/p/BHP8t1SAtUJ/";;@Port;;"748228332588830721";https://twitter.com/DeFreitasGabe/status/748228332588830721
;2016-06-30 02:52;0;0;"This photo was taken in a laneway just off Clinton Place, near Clinton Street in… https://www.instagram.com/p/BHP8bYrgX3T/";;;;"748227699118841856";https://twitter.com/FraserAllanBest/status/748227699118841856
;2016-06-30 02:21;0;0;"Come # Undone with us this Thursday night at OMNIA San Diego as we have Clinton Sparks tearing up… https://www.instagram.com/p/BHP4ulQgLrz/";;;#;"748219875252969472";https://twitter.com/TKProductionsSD/status/748219875252969472
;2016-06-30 02:20;0;0;"Grilled chorizo accompany a biscuit with butter @Clinton Street Baking Company https://www.instagram.com/p/BHP4v8cjROo/";;@Clinton;;"748219610630098944";https://twitter.com/SmokeNMinds/status/748219610630098944
;2016-06-30 02:09;0;0;"# baseball # humbabe @Clinton, Iowa https://www.instagram.com/p/BHP3fj8BOxk/";;@Clinton;# #;"748216852665368576";https://twitter.com/Baugh18/status/748216852665368576
;2016-06-30 01:47;0;0;"Jeffry G. from Clinton, CT on his newly purchased 2006 Harley-Davidson® Road King®! Thanks for… https://www.instagram.com/p/BHP09fQDici/";;;;"748211279152701440";https://twitter.com/MikesFamousCT/status/748211279152701440
;2016-06-30 01:20;1;0;"Accident in # Rochester on N Clinton Ave Both NB/SB at Upper Falls Blvd # traffic http://bit.ly/10BQ5Pw";;;# #;"748204600717520896";https://twitter.com/TotalTrafficROC/status/748204600717520896
