username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-03-30 07:55;0;1;"@TAW3343@jeffzeleny@Plantflowes@HillaryClinton@BernieSanders#Sanders getting confident & arrogant b/c his wins. Hillary should debate him.";;@TAW3343 @jeffzeleny @Plantflowes @HillaryClinton @BernieSanders;#Sanders;"714964196505440256";https://twitter.com/GraceinHeights/status/714964196505440256
;2016-03-30 07:43;0;0;"@TAW3343@jeffzeleny@Plantflowes@HillaryClinton@BernieSanders#Have faith in Hillary; she should debate Sanders to shut him up.";;@TAW3343 @jeffzeleny @Plantflowes @HillaryClinton @BernieSanders;#Have;"714961173930647553";https://twitter.com/GraceinHeights/status/714961173930647553
;2016-03-30 07:39;0;3;"Packed house for @ hillaryclinton young leaders event! # imwithher (@The Royal in New York, NY) https://www.swarmapp.com/c/cjrP0DaqIPk";;@ @The;#;"714960209375076356";https://twitter.com/AmandaPizz/status/714960209375076356
;2016-03-30 06:38;0;0;"Republican leader admits he altered documents to frame Hillary Clinton on Benghazi http://www.dailynewsbin.com/news/republican-leader-admits-he-altered-documents-to-frame-hillary-clinton-on-benghazi/22856/ … via @ dailynewsbin";;@;;"714944818346987520";https://twitter.com/GraceinHeights/status/714944818346987520
;2016-03-30 06:30;0;1;"Hillary funded by private prisons, foreign countries, wall st so don't tell us what she won't do @ MakeItPlain";;@;;"714942945502302208";https://twitter.com/jusxMia/status/714942945502302208
;2016-03-30 06:30;1;0;"@ JoyAnnReid can you say voter suppression Hillary! # BernieOrBust # DNCCORRUPT # StillSanders we r watching # bill&Hillcheat";;@;# # # #;"714942739138220032";https://twitter.com/erininballard/status/714942739138220032
;2016-03-30 06:28;0;0;"Can't even listen to"progressive radio" anymore they are so worried about Hillary. Sickened @ MakeItPlain hollering # BernieSanders integrity";;@;#;"714942389966802944";https://twitter.com/jusxMia/status/714942389966802944
;2016-03-30 06:25;1;0;"@ JoyAnnReid they also would b appalled at the Hillary campaign for trying to steal the election go figure! # BernieOrBust # StillSanders";;@;# #;"714941490607206401";https://twitter.com/erininballard/status/714941490607206401
;2016-03-30 04:07;0;5;"" @ PeterFHector: Who can give me a reason why either Hillary or Sanders is better than trump?" Wears glasses so I trust his vision";;@;;"714906768846020611";https://twitter.com/Dullconvo/status/714906768846020611
;2016-03-30 04:06;0;3;"" @ PeterFHector: Who can give me a reason why either Hillary or Sanders is better than trump?" better hair than both";;@;;"714906634770911240";https://twitter.com/Dullconvo/status/714906634770911240
