username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-01-30 07:58;0;0;"Donald Trump was right: his absence really did lower debate viewership http://www.vox.com/2016/1/29/10868380/donald-trump-debate-viewership?utm_campaign=vox&utm_content=article%3Afixed&utm_medium=social&utm_source=twitter … via @ voxdotcom";;@;;"693221669196922881";https://twitter.com/butchgreen200/status/693221669196922881
;2016-01-30 07:51;0;0;"The sun reflecting off of the Trump Hotel and Residences and it sets on the city. Doesn't that… https://www.instagram.com/p/BBJFwTCMSap/";;;;"693219854749409280";https://twitter.com/jasondeluca_to/status/693219854749409280
;2016-01-30 07:50;1;0;"Trump skips debate, but was there in spirit http://bit.ly/1Spj8mr";;;;"693219671865061376";https://twitter.com/CW39Houston/status/693219671865061376
;2016-01-30 07:49;0;0;"http://money.cnn.com/2016/01/29/media/republican-debate-ratings-donald-trump/index.html … Ahhh...Donald Trump....hello @ realDonaldTrump @ FoxNews";;@ @;;"693219383737454593";https://twitter.com/Tanya_Korne/status/693219383737454593
;2016-01-30 07:42;0;1;"Trump hiding in the background # Chicago # Rubio2016 @Howells & Hood https://www.instagram.com/p/BBJExKOGAXs/";;@Howells;# #;"693217683731550208";https://twitter.com/KyleThorsen/status/693217683731550208
;2016-01-30 07:21;0;0;"Romulus was having a lively discussion on last night's GOP Debate. He thinks Trump made the… https://www.instagram.com/p/BBJCWjDBn3Y/";;;;"693212383217524737";https://twitter.com/cmullis1209/status/693212383217524737
;2016-01-30 07:16;0;0;"@ albertofdez73 en tu muy buen texto sobre Trump de hace meses, dijiste que jamás será presidente. ¿Aún lo crees, Alberto?";;@;;"693211139593768964";https://twitter.com/AprendizD_Brujo/status/693211139593768964
;2016-01-30 07:14;0;0;"@ realDonaldTrump Wish you had";;@;;"693210694595039233";https://twitter.com/rosscmary/status/693210694595039233
;2016-01-30 07:07;0;0;"@ realDonaldTrump You're #1";;@;#1;"693208841534709765";https://twitter.com/rosscmary/status/693208841534709765
;2016-01-30 06:54;0;0;"@ Rick Tyler , Everything coming out of your mouth, is pure bitterness. Like most Demos!. There is not BS that change voters. TRUMP";;@;;"693205641758834690";https://twitter.com/newage88/status/693205641758834690
;2016-01-30 06:42;0;0;"@ seanmdav @ exjon It would be ironic if Trump scoring a narrow victory in Iowa ended up being the best thing for the GOP.";;@ @;;"693202566570741762";https://twitter.com/Captain_Strongo/status/693202566570741762
;2016-01-30 06:41;0;0;"I do enjoy Alex Jones and his InfoWar videos, but if he thinks the DOJ in a Trump administration will bring the Clintons to justice ......";;;;"693202375339872256";https://twitter.com/AlexTamsula/status/693202375339872256
;2016-01-30 06:40;0;0;"This headline... http://theresurgent.com/mike-huckabee-and-rick-santorum-end-their-campaigns-and-kneel-before-zod/ … # Trump # Huckabee # Santorum # GOP";;;# # # #;"693201970136375297";https://twitter.com/RdubHall/status/693201970136375297
;2016-01-30 06:39;0;0;"You asked for it! and Our UIU Executive Board has delivered! In the words of Donald Trump:… https://www.instagram.com/p/BBI9ktQCSc-/";;;;"693201877152960513";https://twitter.com/namoworldwide/status/693201877152960513
;2016-01-30 06:22;0;0;"@ realDonaldTrump I support Donald Trump. I cannot see our country with another 4 years of Obummer like politics.";;@;;"693197453835812864";https://twitter.com/ronabrunner/status/693197453835812864
;2016-01-30 06:09;0;0;"@ CBSNLive @ HillaryClinton @ margbrennan At this point I could care less, am fuming at Trump dumping "Vets" event $ in HIS account.";;@ @ @;;"693194329527943170";https://twitter.com/a_barbcosgrove/status/693194329527943170
;2016-01-30 05:53;0;0;"While Cruz and Rubio are duking it out, @ realDonaldTrump is get'n it done! Taking care of business!";;@;;"693190280237813761";https://twitter.com/fmg223/status/693190280237813761
;2016-01-30 05:50;2;3;"I like the shot of Huckabee, Santorum and Trump! 3 pretty smart guys I must say...";;;;"693189473757065216";https://twitter.com/fmg223/status/693189473757065216
