username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-10-30 07:59;0;0;"Donald Trump cast doubt on the integrity of Colorado's mail-ballot election at Jeffco rally Saturday: copolitics http://dpo.st/2embie1";;;;"792516132020244480";https://twitter.com/DenverCP/status/792516132020244480
;2016-10-30 07:52;0;0;"TRUMP LEAVES CLINTON PUPPET George Stephanopoulos Wishing He Wouldn’t Have Asked That Question…[VIDEO] http://dlvr.it/MYP8Cm pic.twitter.com/7f6BO4F0q6";;;;"792514378528460800";https://twitter.com/EarlPdxPearl/status/792514378528460800
;2016-10-30 07:51;0;1;"Party trump in the house @Rivers Casino https://www.instagram.com/p/BMKnkHQB_0A/";;@Rivers;;"792514133186924544";https://twitter.com/frankie_5152/status/792514133186924544
;2016-10-30 07:50;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":68.7°F Wind:1.1mph Pressure: 30.12hpa Falling slowly Rain Today 0.00in. Forecast: Fairly fine, show";;;#;"792513861974761473";https://twitter.com/AppaloosaGuy/status/792513861974761473
;2016-10-30 07:47;0;0;"# hillaryforprison # infowars # alexjones # deplorables # trump # trumptrain # votetrump # fuckhillary… https://www.instagram.com/p/BMKnLuylsTz/";;;# # # # # # # #;"792513298549837824";https://twitter.com/somethingnewnow/status/792513298549837824
;2016-10-30 07:46;0;0;"According to @ CNNgo @ realdonaldtrump is going to just into another scandal about @ HillaryClinton e-mails. Anyways I'm go with Her.";;@ @ @;;"792512872819503104";https://twitter.com/BiochemistMX/status/792512872819503104
;2016-10-30 07:45;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":68.7°F Wind:0.0mph Pressure: 30.12hpa Falling slowly Rain Today 0.00in. Forecast: Fine, becoming le";;;#;"792512603037634560";https://twitter.com/AppaloosaGuy/status/792512603037634560
;2016-10-30 07:39;0;0;""I have voted, and I voted for Donald J. Trump," says Carl Mueller, father of slain ISIS hostage Kayla Mueller.… http://toplocalnow.com/us/phoenix";;;;"792511103368466432";https://twitter.com/PhoenixCP/status/792511103368466432
;2016-10-30 07:35;0;0;"Unos camaradas jajaja me duele la quijada de risa # trump # nasty @… https://www.instagram.com/p/BMKlw16gy0SBT4FJf69sNqSgfB3fJ6QRv0z9D80/ …";;@;# #;"792510166893821952";https://twitter.com/luisouicho/status/792510166893821952
;2016-10-30 07:32;0;0;"Baking cookies for Papi tomorrow # teamava # daddyslittlegirl @Trump… https://www.instagram.com/p/BMKlc8ehpg_i6nkyIAWBJUExWleox_U1hWBK8E0/ …";;@Trump;# #;"792509488775299072";https://twitter.com/jamesccoxjr/status/792509488775299072
;2016-10-30 07:31;0;0;"暗潮洶湧 # trump # hillaryclinton # election2016 # emailgate @Parc Jean-Drapeau https://www.instagram.com/p/BMKlXloBusw/";;@Parc;# # # #;"792509304003633152";https://twitter.com/powei92/status/792509304003633152
;2016-10-30 07:26;0;0;"Couldn't help but stop by the Trump International Hotel in DC.. just opened Sept 12th and hey,… https://www.instagram.com/p/BMKkszgD9ip/";;;;"792507831618449408";https://twitter.com/CCWGGuy/status/792507831618449408
;2016-10-30 07:25;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":69.4°F Wind:0.0mph Pressure: 30.12hpa Falling slowly Rain Today 0.00in. Forecast: Fine, becoming le";;;#;"792507573748375552";https://twitter.com/AppaloosaGuy/status/792507573748375552
;2016-10-30 07:23;0;0;"Despite grand shows of generosity, months-long investigation unable to verify Donald Trump's boasts about charity… https://twitter.com/i/web/status/792492049559916544 …";;;;"792507072445227008";https://twitter.com/Chicago_CP/status/792507072445227008
;2016-10-30 07:23;0;0;"SE side resident says someone lit her Trump sign on fire, so she put up 4 more & cameras. @ EmilyWTHR http://toplocalnow.com/us/indianapolis";;@;;"792507065868484608";https://twitter.com/IndianapolisCP/status/792507065868484608
;2016-10-30 07:22;0;0;"Love Trumps Hate. # ImWithHer @Bristol, Connecticut https://www.instagram.com/p/BMKkR2MBZC_/";;@Bristol;#;"792506907546169344";https://twitter.com/HeyLeesh/status/792506907546169344
;2016-10-30 07:20;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":69.6°F Wind:0.0mph Pressure: 30.12hpa Falling slowly Rain Today 0.00in. Forecast: Fine, becoming le";;;#;"792506310168154113";https://twitter.com/AppaloosaGuy/status/792506310168154113
;2016-10-30 07:19;0;0;"I am a male to female transgender woman and the Trump-Pence candidacy will be a threat to people… https://www.instagram.com/p/BMKj-QbAFQ3/";;;;"792506230476529668";https://twitter.com/emilyiannielli/status/792506230476529668
;2016-10-30 07:19;0;0;"Just found these 'special' receptacle or mailbox for all # Trump absently or mailed-in votes...… https://www.instagram.com/p/BMKj551DBVY/";;;#;"792506082287648768";https://twitter.com/ChrisGBarba/status/792506082287648768
;2016-10-30 07:18;0;0;"More Trump: "What's happened to the Justice Dept? ... This is what I mean when I say the system is rigged."";;;;"792505942772285440";https://twitter.com/NickKalmanFN/status/792505942772285440
;2016-10-30 07:15;0;0;"@ realDonaldTrump # DrainTheSwamp # Arizona # TrumpTrain sky likes the chant @Humboldt County https://www.instagram.com/p/BMKjhIjjIqW/";;@ @Humboldt;# # #;"792505240666968066";https://twitter.com/JulietteMonroex/status/792505240666968066
;2016-10-30 07:15;0;1;"I don't care about your political affiliation, Mr. Donald J. Trump ( @ realdonaldtrump ) knows how… https://www.instagram.com/p/BMKjdLUBDs_/";;@;;"792505101604618241";https://twitter.com/TylerTorres7/status/792505101604618241
;2016-10-30 07:15;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":70.0°F Wind:0.0mph Pressure: 30.12hpa Falling slowly Rain Today 0.00in. Forecast: Fine, becoming le";;;#;"792505056499118080";https://twitter.com/AppaloosaGuy/status/792505056499118080
;2016-10-30 07:12;0;1;"Trump on latest FBI/Clinton developments: "It's everybody's deepest hope that justice at last will be beautifully delivered."";;;;"792504463000952832";https://twitter.com/NickKalmanFN/status/792504463000952832
;2016-10-30 07:10;0;0;"# SanAntonio poets reciting "El Cucuy", a poem about—I kid you not—Donald Trump. @La Villita… https://www.instagram.com/p/BMKi3j4jETs/";;@La;#;"792503802880487424";https://twitter.com/montanotx/status/792503802880487424
;2016-10-30 07:09;0;0;"I heard Hillary wants to make abortion legal no matter how far along you are so fuck that shit there are more candidates then trump and hill";;;;"792503676292173824";https://twitter.com/prime1211/status/792503676292173824
;2016-10-30 07:07;0;0;"Trump: "we can win minnesota."";;;;"792503073532841984";https://twitter.com/NickKalmanFN/status/792503073532841984
;2016-10-30 07:06;0;0;"Make America Great Again! # 2ndamendment @Trump International Hotel Washington, D.C. https://www.instagram.com/p/BMKbI6Pg1_U/";;@Trump;#;"792502962052554752";https://twitter.com/RealMattPrice/status/792502962052554752
;2016-10-30 07:03;0;0;"Trump supporter charged with voting twice in Iowa - The Washington Post https://apple.news/AiEZJLlfBTV-ocU8Hk2cuww …";;;;"792502191844130816";https://twitter.com/deaconajv/status/792502191844130816
;2016-10-30 06:57;0;0;"Ted Cruz urges Denton County residents to vote Trump http://bubly.us/PhYI";;;;"792500511182295045";https://twitter.com/LewisvilleBL/status/792500511182295045
;2016-10-30 06:56;8;6;"Sure Trump isn't perfect but he sure is right on all the issues and that's what counts. pic.twitter.com/GzvDFxj2Hm";;;;"792500345012232192";https://twitter.com/jkruzel25/status/792500345012232192
;2016-10-30 06:48;1;0;"We are going to make BMX great again # murica # trump # trumpforbmx @ realdonaldtrump @Trump… https://www.instagram.com/p/BMKgctdjcGY/";;@ @Trump;# # #;"792498483458605056";https://twitter.com/andrewrides_/status/792498483458605056
;2016-10-30 06:48;0;0;"Donald Trump’s path of destruction has pushed the Republican Party to the cusp of a historic reckoning.… https://twitter.com/i/web/status/792495136332713988 …";;;;"792498280458440704";https://twitter.com/Boston_CP/status/792498280458440704
;2016-10-30 06:48;0;0;"Las Vegas trends now: Kanye, Escape, Trump, Game 4, Halloween and NationalCatDay. http://toplocalnow.com/us/las-vegas?section=trends …";;;;"792498279254589440";https://twitter.com/LasVegasCP/status/792498279254589440
;2016-10-30 06:48;0;0;"GOP presidential nominee Donald Trump boasts of charitable giving, but there’s little proof it’s real.… https://twitter.com/i/web/status/792483176442724352 …";;;;"792498276821983232";https://twitter.com/Boston_CP/status/792498276821983232
;2016-10-30 06:48;0;0;"Trump has landed at Sky Harbor airport in Phoenix abc15 @KimABC15 http://toplocalnow.com/us/phoenix";;@KimABC15;;"792498273151967232";https://twitter.com/PhoenixCP/status/792498273151967232
;2016-10-30 06:45;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":72.9°F Wind:0.0mph Pressure: 30.12hpa Steady Rain Today 0.00in. Forecast: Fine weather";;;#;"792497502536597504";https://twitter.com/AppaloosaGuy/status/792497502536597504
;2016-10-30 06:44;0;0;"http://www.mostdamagingwikileaks.com/ @ realDonaldTrump @ mike_pence @ seanhannity @ HillaryClinton @ timkaine # MAGA # DrainTheSwamp";;@ @ @ @ @;# #;"792497264044363776";https://twitter.com/MarcKurtz_Jr/status/792497264044363776
;2016-10-30 06:40;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":73.4°F Wind:0.0mph Pressure: 30.09hpa Falling slowly Rain Today 0.00in. Forecast: Fine, becoming le";;;#;"792496245470142464";https://twitter.com/AppaloosaGuy/status/792496245470142464
;2016-10-30 06:37;0;0;"Vote Trump for President! pic.twitter.com/j7llWMbtQo";;;;"792495527099113472";https://twitter.com/PunkLewisGolf/status/792495527099113472
;2016-10-30 06:36;1;1;"Give up your day for a Trump Rally but that doesn't mean they'll vote. Am I hearing intelligence or stupidity? pic.twitter.com/VmKiFFvkk6";;;;"792495227768414209";https://twitter.com/jkruzel25/status/792495227768414209
;2016-10-30 06:35;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":73.9°F Wind:0.0mph Pressure: 30.09hpa Falling slowly Rain Today 0.00in. Forecast: Fine, becoming le";;;#;"792494986176532480";https://twitter.com/AppaloosaGuy/status/792494986176532480
;2016-10-30 06:31;0;1;"Lets do it America! The Trumps way! The United Way! We are The American movement of 2016! We the people Count First! Vote Trump!";;;;"792494127917125632";https://twitter.com/beth6281964/status/792494127917125632
;2016-10-30 06:31;0;1;"You better believe there were protesters at this week's Trump Hotel ribbon cutting. http://dcist.com/2016/10/protesters.php#photo-1 …";;;#photo;"792493995645468672";https://twitter.com/WashingtonCP/status/792493995645468672
;2016-10-30 06:30;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":74.3°F Wind:0.0mph Pressure: 30.09hpa Falling slowly Rain Today 0.00in. Forecast: Showery, becoming";;;#;"792493729244254208";https://twitter.com/AppaloosaGuy/status/792493729244254208
;2016-10-30 06:29;0;0;"Its her future, I let her decide who we were voting for and she said "Donald Trump is… https://www.instagram.com/p/BMKePNNBIKU/";;;;"792493623245885441";https://twitter.com/BottomFeederMus/status/792493623245885441
;2016-10-30 06:28;0;0;"Trump is at the airport I'm at";;;;"792493378147643396";https://twitter.com/jesse0rtiz/status/792493378147643396
;2016-10-30 06:25;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":75.0°F Wind:0.0mph Pressure: 30.12hpa Steady Rain Today 0.00in. Forecast: Fine weather";;;#;"792492469547966464";https://twitter.com/AppaloosaGuy/status/792492469547966464
;2016-10-30 06:20;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":75.4°F Wind:0.0mph Pressure: 30.12hpa Steady Rain Today 0.00in. Forecast: Fine weather";;;#;"792491212750016512";https://twitter.com/AppaloosaGuy/status/792491212750016512
;2016-10-30 06:17;0;0;"MWAM - Latino community reacts to Trump's immigration policy - Latino community reacts to Trump's immigration… http://dlvr.it/MYNHYM";;;;"792490472824377344";https://twitter.com/Pairsonnalites/status/792490472824377344
;2016-10-30 06:17;0;0;"MWAM - Latino community reacts to Trump's immigration policy - Latino community reacts to Trump's immigration… http://dlvr.it/MYNHVK";;;;"792490470265884672";https://twitter.com/stigmabase/status/792490470265884672
;2016-10-30 06:17;0;0;"MWAM - Latino community reacts to Trump's immigration policy - Latino community reacts to Trump's immigration… http://dlvr.it/MYNHQd";;;;"792490466830786560";https://twitter.com/PairsonnalitesE/status/792490466830786560
;2016-10-30 06:16;0;0;"Donald Trump Jr meeting with the crowds at FL/GA right now @ WJXTScottJ http://toplocalnow.com/us/jacksonville";;@;;"792490209980010496";https://twitter.com/JacksonvilleCP/status/792490209980010496
;2016-10-30 06:15;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":75.9°F Wind:0.0mph Pressure: 30.12hpa Steady Rain Today 0.00in. Forecast: Fine weather";;;#;"792489953963888640";https://twitter.com/AppaloosaGuy/status/792489953963888640
;2016-10-30 06:15;0;0;"Fox, have you not figured out that Trump has no idea what he's talking about? Such a looser. Will prove 11/9";;;;"792489940181393408";https://twitter.com/ChadSWilson/status/792489940181393408
;2016-10-30 06:14;0;1;"Found a guard dog to make sure Trump didn't try to grab me @… https://www.instagram.com/p/BMKcii9D0pjTD7Jopj-FAxy2A4bQcX4PntXBDM0/ …";;@;;"792489886616018944";https://twitter.com/Sierra_Diane/status/792489886616018944
;2016-10-30 06:13;0;0;"Donald Trump has landed in Phoenix, where crowds have already gathered downtown. Here's the latest from the rally:… https://twitter.com/i/web/status/792484733573881856 …";;;;"792489466225041409";https://twitter.com/PhoenixCP/status/792489466225041409
;2016-10-30 06:13;0;0;"Texas eatery changes name to Trump Cafe to show support http://bit.ly/2f0Qgmd";;;;"792489463259598848";https://twitter.com/FortWorthCP/status/792489463259598848
;2016-10-30 06:13;0;0;"LIVE: Donald Trump's plane makes a landing in Phoenix, scheduled to take the stage at 3:30 PM… https://twitter.com/i/web/status/792481806121664512 …";;;;"792489461468639232";https://twitter.com/PhoenixCP/status/792489461468639232
;2016-10-30 06:13;3;6;"Donald J. Trump about to land in PHX for 3:30 rally. Watch live now at or… https://twitter.com/i/web/status/792480671998631937 …";;;;"792489457911930880";https://twitter.com/PhoenixCP/status/792489457911930880
;2016-10-30 06:10;0;2;"You see a little bit of everything at Trump rallies # halloween # trump # clinton # phoenix # foxnews… https://www.instagram.com/p/BMKb_9EDuYH/";;;# # # # #;"792488698428305408";https://twitter.com/WillCarr/status/792488698428305408
;2016-10-30 06:10;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":76.3°F Wind:2.0mph Pressure: 30.12hpa Steady Rain Today 0.00in. Forecast: Fine weather";;;#;"792488695416762368";https://twitter.com/AppaloosaGuy/status/792488695416762368
;2016-10-30 06:08;0;0;"Getting ready for the Trump Rally!! # Murica # makeamericagreatagain @Phoenix Convention Center https://www.instagram.com/p/BMKb2cxBwAr/";;@Phoenix;# #;"792488374313496576";https://twitter.com/bignatebaby/status/792488374313496576
