username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-09-30 07:51;0;0;"I send blessings to all of the republican party,DonaldJ.Trump and all American supporters.I ptay your blessed in your coming and going." DJT";;;;"781642506538590208";https://twitter.com/beth6281964/status/781642506538590208
;2016-09-30 07:50;1;1;"Trump: 3 wives, multiple mistresses Gingrich: 3wives, multiple mistresses Guliani: 3wives, multiple mistresses https://twitter.com/dperry913/status/781639020006694912 …";;;;"781642407083319296";https://twitter.com/VictoriaInPhx/status/781642407083319296
;2016-09-30 07:50;0;0;"Trump jokes about kicking non-Christians out of an Iowa rally http://feeds.mashable.com/~r/Mashable/~3/zz_PaBNwx4w/ …";;;;"781642231643934721";https://twitter.com/ClickWhisperer/status/781642231643934721
;2016-09-30 07:49;0;0;"Hello Mr. Trump! Good luck for the upcoming election! # auntyhillaryforpresident # chicago # usa… https://www.instagram.com/p/BK9XiVOA7hZ/";;;# # #;"781642096549720064";https://twitter.com/samzahri/status/781642096549720064
;2016-09-30 07:46;0;0;"Los Mexicanos son más RACISTAS q Donald Trump ?";;;;"781641370377129984";https://twitter.com/PAPPY_F4U/status/781641370377129984
;2016-09-30 07:43;0;0;"I see a number and that number of Americans is for "Donald J.Trump! These Americans are creative and want a change. Get on the Trump Train!";;;;"781640565167263744";https://twitter.com/beth6281964/status/781640565167263744
;2016-09-30 07:40;0;0;"Trump vaut 3,7 milliards $, selon «Forbes» http://www.journaldemontreal.com/2016/09/29/trump-vaut-37-milliards--selon-forbes …";;;;"781639839112323073";https://twitter.com/MontrealCP/status/781639839112323073
;2016-09-30 07:40;0;0;"I seen America and all its beauty as a child! I seen when I could by a coca-cola for 10 cents and a gallon of gas for 19 cents. Vote Trump!";;;;"781639789422317568";https://twitter.com/beth6281964/status/781639789422317568
;2016-09-30 07:39;0;0;"does any shill of Trump have any relationship with the truth";;;;"781639487549865984";https://twitter.com/kellygirl2004/status/781639487549865984
;2016-09-30 07:28;1;2;"@ realDonaldTrump @ HillaryClinton @ davidmuir Every woman is beautiful no matter what size she is. Trump doesn't know what real beauty is.";;@ @ @;;"781636772220571648";https://twitter.com/funnycat38/status/781636772220571648
;2016-09-30 07:27;0;0;"@ The_Trump_Train keep on keeping on The Trump Train movement.Its all about love for the country and the American http://people.vote DJT";;@;;"781636635452596229";https://twitter.com/beth6281964/status/781636635452596229
;2016-09-30 07:26;0;0;"Not too shabby @ realdonaldtrump # nyc @Trump Tower New York https://www.instagram.com/p/BK9U5-iABjsxKHVtJ-dO4CRT_AvOp9ZtaTY-ZY0/ …";;@ @Trump;#;"781636311547535360";https://twitter.com/jeffrey_t_b/status/781636311547535360
;2016-09-30 07:25;0;0;"@ The_Trump_Train I say today the one that loves America fom their heart and not just in mind.This person is "Donald J.Trump! Vote Trump!";;@;;"781636020890501120";https://twitter.com/beth6281964/status/781636020890501120
;2016-09-30 07:23;0;0;"# fuck # trump # street # art # cbs # studio # realtimewithbillmaher # fdt @CBS Television City https://www.instagram.com/p/BK9UmltAxwO/";;@CBS;# # # # # # # #;"781635645647249408";https://twitter.com/djbuddhaTX/status/781635645647249408
;2016-09-30 07:19;0;0;""Don't forget to go to the Trump store.Get mugs,T shirts and different memorable merchandise. It helps the http://movement.Vote Trump!";;;;"781634623218384896";https://twitter.com/beth6281964/status/781634623218384896
;2016-09-30 07:15;0;0;"Donald Trump’s history of corruption: a comprehensive review... http://ow.ly/pI74100l72Z # election2016 # p2";;;# #;"781633491532382212";https://twitter.com/Joseph_Santoro/status/781633491532382212
;2016-09-30 07:15;0;0;"Get your heads up and ears open.Listen to the sound of change.Our American voice has been heard. "Donald Trump has come to work for change!";;;;"781633482774618112";https://twitter.com/beth6281964/status/781633482774618112
;2016-09-30 07:10;0;0;"Obama and Hillary knows America found out there corruption.Leave with your heads down.A man of honor is moving in the White House! Trump!";;;;"781632242992893953";https://twitter.com/beth6281964/status/781632242992893953
;2016-09-30 07:07;0;0;"Trump broke Cuban embargo, report says, roiling Miami politics http://hrld.us/2d8g1Bz";;;;"781631531441795072";https://twitter.com/MiamiCP/status/781631531441795072
;2016-09-30 07:03;0;0;"New Yorker magazine cover depicts Trump as a beauty queen http://trib.al/pdEzEiz";;;;"781630437789540352";https://twitter.com/SeattleCP/status/781630437789540352
;2016-09-30 06:51;0;0;"I think today trumps my birthday.. if anyone knows me well they know I'm pretty serious about my… https://www.instagram.com/p/BK9Q1svhOSp/";;;;"781627373280079872";https://twitter.com/CheskaLollini/status/781627373280079872
;2016-09-30 06:43;0;0;"Sources for @ realdonaldtrump don't go on the record because of airtight non-disclosure agreements they sign.";;@;;"781625474954981376";https://twitter.com/In2why/status/781625474954981376
;2016-09-30 06:36;0;0;"" @ Variety: Donald Trump Calls First Debate 'A Rigged Deal' http://bit.ly/2cEUUbE " # Crybaby # dumpTrump";;@;# #;"781623684763115521";https://twitter.com/ASH_WILLIAMS456/status/781623684763115521
;2016-09-30 06:36;0;0;"I'm a registered independent voter and I'm voting for @ realDonaldTrump";;@;;"781623632267124736";https://twitter.com/FilemonRuizP/status/781623632267124736
;2016-09-30 06:34;0;0;"This is where @ realdonaldtrump obsession with @ Rosie began. She hurt his huge ego. https://m.youtube.com/watch?v=64YhFQ99a-c …";;@ @;;"781623150710779905";https://twitter.com/In2why/status/781623150710779905
;2016-09-30 06:33;2;1;"It's coming, the countdown. # hillaryforprison2016 # trumpforpresident # trump # donaldtrump… https://www.instagram.com/p/BK9Oy9fDJuM/";;;# # # #;"781622880857690113";https://twitter.com/GregTosto/status/781622880857690113
;2016-09-30 06:32;0;2;"Truth... @Trump Tower New York https://www.instagram.com/p/BK9OvUWBnB5/";;@Trump;;"781622754915201024";https://twitter.com/jpetrosini/status/781622754915201024
;2016-09-30 06:32;0;0;"They really insistes to take a picture with me # trump # Clinton # Obama # lasvegas # Vegas @South… https://www.instagram.com/p/BK9OuI7ghdh/";;@South;# # # # #;"781622710585745408";https://twitter.com/rilieva_/status/781622710585745408
;2016-09-30 06:25;0;0;"The Trump campaign responds to story by a former Inquirer reporter recalling the time he called her a c---.… https://twitter.com/i/web/status/781601059345010689 …";;;;"781620979478822912";https://twitter.com/PhiladelphiaCP/status/781620979478822912
;2016-09-30 06:25;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":61.9°F Wind:0.0mph Pressure: 30.09hpa Rising slowly Rain Today 0.00in. Forecast: Settled fine";;;#;"781620832846028800";https://twitter.com/AppaloosaGuy/status/781620832846028800
;2016-09-30 06:22;0;0;"As is tradition when you see a trump tower... @Trump International Hotel And Tower https://www.instagram.com/p/BK9NnQFDOuu/";;@Trump;;"781620276069031936";https://twitter.com/mikeandersonwa/status/781620276069031936
;2016-09-30 06:19;0;0;"@ Dana apologize to Trump. jumped the gun on miss universe last night especially Kelly. never stops playing the woman card";;@;;"781619455814209537";https://twitter.com/chelminak/status/781619455814209537
;2016-09-30 06:15;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":62.2°F Wind:0.0mph Pressure: 30.06hpa Rising slowly Rain Today 0.00in. Forecast: Settled fine";;;#;"781618323331035136";https://twitter.com/AppaloosaGuy/status/781618323331035136
;2016-09-30 06:10;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":62.4°F Wind:0.0mph Pressure: 30.06hpa Rising slowly Rain Today 0.00in. Forecast: Settled fine";;;#;"781617055829102592";https://twitter.com/AppaloosaGuy/status/781617055829102592
;2016-09-30 06:08;0;1;"Man zapped as he tries to steal booby-trapped Trump sign http://bit.ly/2dhpkPj";;;;"781616561563893762";https://twitter.com/SanFranciscoCP/status/781616561563893762
;2016-09-30 06:07;0;0;"# trump # hillaryclinton # president # debate # art # magick # meditation # okc # ontheroad @Taquería… https://www.instagram.com/p/BK9Lzm9B_zD/";;@Taquería;# # # # # # # # #;"781616306487332864";https://twitter.com/thefatherphil/status/781616306487332864
;2016-09-30 06:05;0;0;"@ MariaESalinas vote @ realDonaldTrump";;@ @;;"781615969324011520";https://twitter.com/FilemonRuizP/status/781615969324011520
;2016-09-30 06:05;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":62.6°F Wind:0.0mph Pressure: 30.06hpa Rising slowly Rain Today 0.00in. Forecast: Settled fine";;;#;"781615805926547456";https://twitter.com/AppaloosaGuy/status/781615805926547456
;2016-09-30 06:01;0;0;"Clinton Campaign: 'The Tape Doesn't Lie' http://www.nbcnews.com/card/clinton-campaign-tape-doesnt-lie-n656981 … via @ nbcnews Trump is a Racist.Please people do not vote Trump!";;@;;"781614903568240640";https://twitter.com/audreyj47001/status/781614903568240640
;2016-09-30 06:00;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":62.8°F Wind:0.0mph Pressure: 30.06hpa Rising slowly Rain Today 0.00in. Forecast: Settled fine";;;#;"781614540400107520";https://twitter.com/AppaloosaGuy/status/781614540400107520
;2016-09-30 05:58;0;0;"My eye doctor said my right eye is lazy. She is such a racist. Bet she's a Trump supporter @… https://www.instagram.com/p/BK9K0OUB22B/";;@;;"781614128276254720";https://twitter.com/Alblint/status/781614128276254720
;2016-09-30 05:57;0;0;"# MRW I find out my "friends" are voting for Trump (or Johnson or Stein tbh ) # Hillary # ytho… https://www.instagram.com/p/BK9KsNkABxv/";;;# # #;"781613847799095296";https://twitter.com/_mdiaz19/status/781613847799095296
;2016-09-30 05:49;0;0;"As Trump denies climate change, scientists fear we’re about to blow past the ‘red line’ where devastation begins.… https://twitter.com/i/web/status/781603240601329664 …";;;;"781611897405648896";https://twitter.com/CalgaryCP/status/781611897405648896
;2016-09-30 05:45;0;1;"@ realDonaldTrump @ TIME He needs to start talking more of his policies in next Sunday's round 2 debate and less about himself.";;@ @;;"781610840785055744";https://twitter.com/RobertH87748632/status/781610840785055744
;2016-09-30 05:45;0;0;"Trump flak is incredulous a reporter wld remember one word 30 years later. If it's that word, you'd remember. https://twitter.com/phillydotcom/status/781601059345010689 …";;;;"781610840067743744";https://twitter.com/PhiladelphiaCP/status/781610840067743744
;2016-09-30 05:45;1;2;"Donald Trump # MakeAmericaGreat # Murica # trump # TheWall # MakeAmericaGreatAgain # RogerWatersMx… https://www.instagram.com/p/BK9JTNGBzt0/";;;# # # # # #;"781610793963888640";https://twitter.com/fer_medinac/status/781610793963888640
;2016-09-30 05:40;0;0;"@ realDonaldTrump please don't listen to the so called experts -they got Romney defeated -listen to your heart and attack the liberals !!";;@;;"781609590333005825";https://twitter.com/lonniestewart2/status/781609590333005825
;2016-09-30 05:38;0;0;"@ realDonaldTrump taking too much advice from so called experts -ask Mitt Romney how well that works !!!";;@;;"781609162425917440";https://twitter.com/lonniestewart2/status/781609162425917440
;2016-09-30 05:37;0;0;"# Stigmabase | AM - Why Black People Need to Reject Trump's Anti-Immigrant BS - When Trump and his ilk make… http://dlvr.it/MMNwFL";;;#;"781608853842432000";https://twitter.com/Pairsonnalites/status/781608853842432000
;2016-09-30 05:37;0;0;"# Stigmabase | AM - Why Black People Need to Reject Trump's Anti-Immigrant BS - When Trump and his ilk make… http://dlvr.it/MMNwF8";;;#;"781608853150412800";https://twitter.com/stigmabase/status/781608853150412800
;2016-09-30 05:37;0;0;"# Stigmabase | AM - Trump views the world through racist glasses - Donald Trump told us last month what he thinks… http://dlvr.it/MMNwDk";;;#;"781608851019706368";https://twitter.com/Pairsonnalites/status/781608851019706368
;2016-09-30 05:37;0;0;"# Stigmabase | AM - Trump views the world through racist glasses - Donald Trump told us last month what he thinks… http://dlvr.it/MMNwDh";;;#;"781608850453467137";https://twitter.com/stigmabase/status/781608850453467137
;2016-09-30 05:36;0;0;"" @ gomezpickering: Trump's 'incredibly misleading' claim on # Mexico - CNNMoney http://money.cnn.com/2016/09/28/news/economy/trump-mexico-vat-tax/index.html …"";;@;#;"781608533955452928";https://twitter.com/mik_cm/status/781608533955452928
;2016-09-30 05:34;0;0;"# Stigmabase | AM - Why Black People Need to Reject Trump's Anti-Immigrant BS - When Trump and his ilk make… http://dlvr.it/MMNtd8";;;#;"781608150000472064";https://twitter.com/PairsonnalitesE/status/781608150000472064
;2016-09-30 05:34;0;0;"# Stigmabase | AM - Trump views the world through racist glasses - Donald Trump told us last month what he thinks… http://dlvr.it/MMNtbt";;;#;"781608146515009536";https://twitter.com/PairsonnalitesE/status/781608146515009536
;2016-09-30 05:32;0;0;"# trump # protest # boycotttrump # makeamericagreatagain # manhattan # filmphotography # film # tmax… https://www.instagram.com/p/BK9H4zohINy/";;;# # # # # # # #;"781607691063996417";https://twitter.com/stefpix/status/781607691063996417
;2016-09-30 05:32;0;13;"# TBT to when Donald Trump wasn't a presidential nominee";;;#;"781607571895492609";https://twitter.com/blakeells/status/781607571895492609
;2016-09-30 05:15;0;0;"Marine Corps veteran Nathan Fletcher wrote a letter to Donald Trump that people all over the U.S. are sharing:… https://twitter.com/i/web/status/781590624885760001 …";;;;"781603235542863872";https://twitter.com/SanDiegoCP/status/781603235542863872
;2016-09-30 05:15;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":63.7°F Wind:0.0mph Pressure: 30.06hpa Falling slowly Rain Today 0.00in. Forecast: Showery, becoming";;;#;"781603231898054656";https://twitter.com/AppaloosaGuy/status/781603231898054656
;2016-09-30 05:10;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":64.0°F Wind:0.0mph Pressure: 30.03hpa Falling slowly Rain Today 0.00in. Forecast: Showery, becoming";;;#;"781601956380893184";https://twitter.com/AppaloosaGuy/status/781601956380893184
;2016-09-30 05:07;0;0;"De Roger Waters con cariño para Trump. # RogerWaters # PinkFloyd # pigs # Trump # EresUnPendejo # CDMX… https://www.instagram.com/p/BK839h_h6IO/";;;# # # # # #;"781601217172557824";https://twitter.com/estefaniatapia_/status/781601217172557824
;2016-09-30 05:06;0;0;"Trump 2016 | NYC @One World Trade Center https://www.instagram.com/p/BK9E4vfgwrN/";;@One;;"781601085601513476";https://twitter.com/justinnardello/status/781601085601513476
;2016-09-30 05:05;0;0;"'Star Trek' cast and crew, including J.J. Abrams and George Takei, sign an open letter against Trump http://lat.ms/2daFbTn";;;;"781600729681190912";https://twitter.com/LosAngelesCP/status/781600729681190912
;2016-09-30 05:05;0;0;"# Trump in 2016 Temp:Crab Orchard, Ky.":64.2°F Wind:0.0mph Pressure: 30.03hpa Falling slowly Rain Today 0.00in. Forecast: Showery, becoming";;;#;"781600705438101504";https://twitter.com/AppaloosaGuy/status/781600705438101504
;2016-09-30 05:00;0;0;"But according to Trump we're living in hell # chicago # southside # throwback @Pier 31 At 31St… https://www.instagram.com/p/BK9EJsuDzWz/";;@Pier;# # #;"781599470341484545";https://twitter.com/Killaa_Ki/status/781599470341484545
