username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-07-30 07:53;0;0;"Exclusive: Clinton campaign also hacked in attacks on Democrats - sources https://ca.news.yahoo.com/exclusive-clinton-campaign-hacked-attacks-democrats-sources-205126731.html?soc_src=social-sh&soc_trk=tw … via @ Yahoocanada";;@;;"759175012817305600";https://twitter.com/LandesOne/status/759175012817305600
;2016-07-30 07:51;0;0;"Donald Trump Speech Beats Hillary Clinton In TV Viewership http://cbsloc.al/2akg5Lq?cid=twitter_CBSPhilly …";;;;"759174563687239680";https://twitter.com/PhiladelphiaCP/status/759174563687239680
;2016-07-30 07:51;0;0;"FBI investigating possible hack of Hillary Clinton campaign http://hrld.us/2aBbcR9";;;;"759174473324961792";https://twitter.com/MiamiCP/status/759174473324961792
;2016-07-30 07:41;0;0;"Remember kids, find someone in life that looks at you the way Clintons look at balloons … https://www.instagram.com/p/BIdtXxWjXep/";;;;"759172113920131072";https://twitter.com/phil_dipietro/status/759172113920131072
;2016-07-30 07:36;0;0;"Las Vegas trends now: Nevada Supreme Court, Chelsea Clinton, TrumpInCOS, FridayFeeling and ImWithHerNow. http://toplocalnow.com/us/las-vegas?section=trends …";;;;"759170704361127937";https://twitter.com/LasVegasCP/status/759170704361127937
;2016-07-30 07:22;0;0;"Cleared: Incident on # GardenStateParkway NB from Exit 143C to South of Exit 147 - Clinton Ave";;;#;"759167277728137216";https://twitter.com/511NY/status/759167277728137216
;2016-07-30 07:20;0;1;"While wandering lost in the William Jefferson Clinton East Building, I came across this lovely… https://www.instagram.com/p/BIdq4sihD7g/";;;;"759166651682009088";https://twitter.com/necworld7/status/759166651682009088
;2016-07-30 07:20;1;0;"Hillary Clinton To Visit Boulder On Monday http://cbsloc.al/2agaczC";;;;"759166645717774336";https://twitter.com/DenverCP/status/759166645717774336
;2016-07-30 07:18;0;0;"# FBF to that day we hosted an event for SG Ban Ki Moon and Hillary Clinton at the UN. And I was… https://www.instagram.com/p/BIdqsv-jg5I/";;;#;"759166237897265152";https://twitter.com/_peggyp/status/759166237897265152
;2016-07-30 07:17;0;0;"HILARY CLINTON!Si que INSPIRA.... Política para nada, en mi vida había escuchado discursos… https://www.instagram.com/p/BIdqnsDj0qV/";;;;"759166064018223104";https://twitter.com/santosyancarloc/status/759166064018223104
;2016-07-30 07:11;0;3;"# LobbingBombs @Clinton River Park Trails https://www.instagram.com/p/BIdp5mVBmOhD0eKp0WisDhHc6mw6LzzcYogQFQ0/ …";;@Clinton;#;"759164485873438720";https://twitter.com/Klunkernaught1/status/759164485873438720
;2016-07-30 07:09;0;0;"JUST IN: Clinton campaign hacked, reports say http://bit.ly/2a66hrU";;;;"759163878227873792";https://twitter.com/CharlotteCP/status/759163878227873792
;2016-07-30 07:03;0;0;"Clinton and Kaine tour K'NEX, with their spouses, Sen Bob Casey and Gov Tom Wolf @ LMcCrystal http://toplocalnow.com/us/philadelphia";;@;;"759162485555335169";https://twitter.com/PhiladelphiaCP/status/759162485555335169
;2016-07-30 07:00;0;1;"Take Cover! Severe Thunderstorm Warning including Gordon NE, Clinton NE until 5:30 PM MDT pic.twitter.com/3U4lCWnVNX";;;;"759161686083461120";https://twitter.com/NWSSevereTstorm/status/759161686083461120
;2016-07-30 06:47;0;0;"@ realDonaldTrump Nixon Impeached for lying. Bill Clinton Impeached for lying. Now his wife is running and caught lying. Please delete lol";;@;;"759158472596488192";https://twitter.com/rvanness44/status/759158472596488192
;2016-07-30 06:47;0;0;"Las Vegas trends now: Nevada Supreme Court, Chelsea Clinton, TrumpInCOS, FridayFeeling and NationalChickenWingDay. http://toplocalnow.com/us/las-vegas?section=trends …";;;;"759158359975006209";https://twitter.com/LasVegasCP/status/759158359975006209
;2016-07-30 06:47;0;0;"Hillary Clinton Raves About DNC Host City: 'I Love Philadelphia' http://cbsloc.al/2aknSLl?cid=twitter_CBSPhilly …";;;;"759158343738863616";https://twitter.com/PhiladelphiaCP/status/759158343738863616
;2016-07-30 06:42;0;0;"Austin trends now: North Korea, Chelsea Clinton, NationalLipstickDay, DemsInPhilly and BlackWomenDidThat. http://toplocalnow.com/us/austin?section=trends …";;;;"759157082276769792";https://twitter.com/Austin_CP/status/759157082276769792
