username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-12-30 07:11;0;0;"Congratulations to Emily on her first time Maryland home purchase! Thanks to Hillary Cochin, our… https://www.instagram.com/p/BOnngr6gYqs/";;;;"814609796993347584";https://twitter.com/WayneMann_RE/status/814609796993347584
;2016-12-30 06:09;0;0;"Look what we found in Bishop! "Hillary Clinton Killed My Friends" bumper sticker in the back of… https://www.instagram.com/p/BOngehqjT89/";;;;"814594336621002752";https://twitter.com/ProjectWarPath/status/814594336621002752
;2016-12-29 23:48;0;1;"Absurd. Obviously you cannot discern between propaganda and reality @ BarackObama @ HillaryClinton @ JoyAnnReid";;@ @ @;;"814498228053962752";https://twitter.com/mdcolli/status/814498228053962752
;2016-12-29 12:47;0;0;"Meet Hillary...our new rescue from Texas. Her nickname is Ladybird and she's already won my… https://www.instagram.com/p/BOlpOVOBnpr/";;;;"814332093115285504";https://twitter.com/GiannaJax/status/814332093115285504
;2016-12-29 11:30;0;0;"President Obama, Former Secretary of State Hillary R. Clinton and Present soon to be Former… https://www.instagram.com/p/BOlgaaFAjIY/";;;;"814312712020885504";https://twitter.com/GreenMountRepub/status/814312712020885504
;2016-12-29 10:59;0;0;"my grandmother's face at the mention of Hillary was shocking";;;;"814304901182476288";https://twitter.com/brynbehr/status/814304901182476288
;2016-12-29 10:59;0;0;"because he wasn't Hillary and they're Republicans.";;;;"814304819607437312";https://twitter.com/brynbehr/status/814304819607437312
;2016-12-29 06:12;0;0;"# 2016infourwords hillary Should've been president";;;#;"814232615129489408";https://twitter.com/lexi_nicole2010/status/814232615129489408
;2016-12-29 06:07;0;1;"Insults are just showing your ignorance";;;;"814231335346864130";https://twitter.com/lowellgallagher/status/814231335346864130
;2016-12-29 06:05;0;0;"How is fate news when I saw it with my own eyes she laugh at those American";;;;"814230814141587456";https://twitter.com/lowellgallagher/status/814230814141587456
;2016-12-29 05:13;0;0;"Barack Obama and Hillary Clinton are the 'most admired' people in America http://dlvr.it/Mzm1G4 pic.twitter.com/nPV8FBpRXn";;;;"814217797613928448";https://twitter.com/bar1958/status/814217797613928448
;2016-12-29 00:10;0;4;"@ rick00979 @ HillaryClinton @ POTUSpic.twitter.com/ZBU38nymwt";;@ @ @;;"814141437881286656";https://twitter.com/pannlewis44/status/814141437881286656
;2016-12-28 21:10;0;0;"not really-he beat out many R-party heavies, including a Bush.";;;;"814096109035352064";https://twitter.com/rmty/status/814096109035352064
;2016-12-28 12:50;0;0;"Sometimes when I'm sad I think about how Hillary and I got lost in Manhattan or falling asleep… https://www.instagram.com/p/BOjEsFaAVFr/";;;;"813970271531139072";https://twitter.com/_reenuh/status/813970271531139072
;2016-12-28 12:25;0;0;"Hillary C se va a poder celosa";;;;"813964122165542912";https://twitter.com/alphabetist/status/813964122165542912
;2016-12-28 12:19;0;0;"Alleged CNN Report On Hillary On Election Night A Shocking Portrait Of A Woman Gone Berserk http://ln.is/republicbroadcasting.org/4dDOW …";;;;"813962529164689410";https://twitter.com/blondiebachus/status/813962529164689410
;2016-12-28 07:35;0;0;"I didn't know Hillary Clinton was down by Sistrunk at Bettys Soul Food # ComfortFood @Betty's… https://www.instagram.com/p/BOigo5bFB_F/";;@Betty;#;"813891008471646212";https://twitter.com/PromoCodeCruz/status/813891008471646212
;2016-12-28 05:54;0;0;"Actually, the voters wanted @ HillaryClinton by a 3 million vote margin. https://twitter.com/realDonaldTrump/status/813865160163098628 …";;@;;"813865783809818625";https://twitter.com/tyrellaagard/status/813865783809818625
