username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-01-30 07:37;0;3;"Isn't it time for FBI to have a little chat with Hillary?";;;;"693216548710776832";https://twitter.com/fmg223/status/693216548710776832
;2016-01-30 07:27;0;0;"Waiting for @ SenSanders here. Then going to see @ HillaryClinton and @ billclinton a few blocks away.pic.twitter.com/yPVPNU9PEX";;@ @ @;;"693213917007314944";https://twitter.com/doctorslate/status/693213917007314944
;2016-01-30 07:13;0;0;"@ joavargas_1220 @ sgteatme2012 @ HillaryClinton @ SenSanders how? As a veteran myself i'd like to know how is he going to do better for me?";;@ @ @ @;;"693210441175207936";https://twitter.com/mysweeetBaybee/status/693210441175207936
;2016-01-30 07:11;0;0;"@ HillaryClinton @ billclinton They disappear all by them selfs. Jail time lady";;@ @;;"693209782468136961";https://twitter.com/DTWICK45/status/693209782468136961
;2016-01-30 06:43;0;0;"Will Hillary escape justice for her crimes? Did Adolph and Eva escape to Argentina by sub?";;;;"693202743234818048";https://twitter.com/AlexTamsula/status/693202743234818048
;2016-01-30 06:34;0;1;"@ jsinacore007 # Hillary prolly served them up so the Chinese could hack into her server in exchange for a donation to the # ClintonFoundation";;@;# #;"693200680941686788";https://twitter.com/sallyeastman1/status/693200680941686788
;2016-01-30 06:25;0;0;"@ gf_layne Hahahaaa! That is rich! The one who is dancing around the scandals over # Benghaxzi and # email is # Hillary!";;@;# # #;"693198259792252928";https://twitter.com/sallyeastman1/status/693198259792252928
;2016-01-30 06:16;0;1;"Getting ready for dinner then jazz @ BlueNoteNYC with @ JaneMonheit. Thanks Hillary for... https://www.swarmapp.com/c/cCmUrCpP8RE pic.twitter.com/XzChZy85ni";;@ @;;"693195973649133568";https://twitter.com/Marshall_Stokes/status/693195973649133568
;2016-01-30 06:12;0;0;"@ guypbenson MSNBC hosts say that the # Hillary # FBI probe is far more advanced than the public has so far been told";;@;# #;"693195003665989633";https://twitter.com/sallyeastman1/status/693195003665989633
;2016-01-30 06:09;0;0;"@ CBSNLive @ HillaryClinton @ margbrennan At this point I could care less, am fuming at Trump dumping "Vets" event $ in HIS account.";;@ @ @;;"693194329527943170";https://twitter.com/a_barbcosgrove/status/693194329527943170
;2016-01-30 06:05;1;4;"It's not that Hillary Clinton was derelict in secure emails, it's that she tried to destroy all of her emails, why?";;;;"693193261502980096";https://twitter.com/calistevenj/status/693193261502980096
;2016-01-30 05:53;0;0;"@ joavargas_1220 @ HillaryClinton @ sgteatme2012 good for you then.";;@ @ @;;"693190344167559168";https://twitter.com/mysweeetBaybee/status/693190344167559168
;2016-01-30 05:40;0;0;"@ joavargas_1220 @ HillaryClinton @ sgteatme2012 that's where I have a problem. Y'all trash her all day, then say you will support her. B.S.";;@ @ @;;"693186862635155456";https://twitter.com/mysweeetBaybee/status/693186862635155456
;2016-01-30 05:31;0;0;"Hillary Clinton is not going to deport as much people as Obama because she is not going to win… https://www.instagram.com/p/BBI1xetsJrP/";;;;"693184709803806720";https://twitter.com/VictorSamuel76/status/693184709803806720
;2016-01-30 05:05;2;4;"Ted Danson campaigning for Hillary Clinton today in Concord, NH pic.twitter.com/JjM60aJCJz";;;;"693178234880561152";https://twitter.com/Demers_Jim/status/693178234880561152
;2016-01-30 04:49;0;0;"@ whpresscorps @ jmhattem ..hey black lives matter ..look look ..hillary ..gets vip treatment ...you guys gunna vote for her..";;@ @;;"693174079612809220";https://twitter.com/roadieghost/status/693174079612809220
;2016-01-30 04:43;0;0;"Why isn't this ol' buzzard in prison? http://tiny.iavian.net/8qwa # Hillary # HillaryClinton # Hillary2016 # Hillaryemail # hillaryemails";;;# # # # #;"693172582170767360";https://twitter.com/RdubHall/status/693172582170767360
;2016-01-30 04:36;0;0;"@NYStateomind125 @ JamilSmith @ HillaryClinton U can interpret it D best way it suits U. We won't B erased for showing support against h8trs.";;@NYStateomind125 @ @;;"693170990109593600";https://twitter.com/mysweeetBaybee/status/693170990109593600
;2016-01-30 04:18;0;0;"@NYStateomind125 @ JamilSmith @ HillaryClinton Google is your friend. Try it.";;@NYStateomind125 @ @;;"693166282028511236";https://twitter.com/mysweeetBaybee/status/693166282028511236
;2016-01-30 04:09;0;0;"@NYStateomind125 @ JamilSmith then don't question why we prefer @ HillaryClinton. # ImWithHer # WeWontBeErased";;@NYStateomind125 @ @;# #;"693164141746503680";https://twitter.com/mysweeetBaybee/status/693164141746503680
;2016-01-30 04:07;0;0;"@ sgteatme2012 @ joavargas_1220 I agree she is, but your opinion of the kind of FL @ HillaryClinton was is biased and tainted so no surprise.";;@ @ @;;"693163687679545350";https://twitter.com/mysweeetBaybee/status/693163687679545350
;2016-01-30 04:04;0;0;"@ AP obstruction of justice . are you kidding hillary for prison 2016,,,";;@;;"693162725208227840";https://twitter.com/roadieghost/status/693162725208227840
;2016-01-30 04:03;0;0;"@ AP ..then arrest her now ...hey jada pinket ..why does hillary get special treatment...";;@;;"693162491455492096";https://twitter.com/roadieghost/status/693162491455492096
;2016-01-30 03:55;0;0;"@ AP ..sorry hillary...obama just dumped on ya ..wow..right b4 your nomination ..c why dems love bernie . .";;@;;"693160581902110720";https://twitter.com/roadieghost/status/693160581902110720
;2016-01-30 03:47;0;1;"@ HouseCracka # couldhappen----> A.G. Lynch & # Hillary go to see Obama & he Pardons her of all wrongdoings. She goes on to become # POTUS.";;@;# # #;"693158548121976833";https://twitter.com/Chroode/status/693158548121976833
;2016-01-30 03:47;0;1;"@ joavargas_1220 @ cfcpac @ Combat_Carl_911 @ giatny @ BernieSanders @ HillaryClinton The Presidency is MORE than just dealing w/economics. FACT!";;@ @ @ @ @ @;;"693158464273694721";https://twitter.com/mysweeetBaybee/status/693158464273694721
;2016-01-30 03:44;0;1;"# couldhappen----> A.G. Lynch & # Hillary go to see Obama & he Pardons her of all wrongdoings. She goes on to become # POTUS. # tcot # Trump2016";;;# # # # #;"693157758993076225";https://twitter.com/Chroode/status/693157758993076225
;2016-01-30 03:39;0;0;"@ joavargas_1220 @ cfcpac @ Combat_Carl_911 @ giatny @ BernieSanders @ HillaryClinton and with Bernie will? Okay then. Good luck with that!";;@ @ @ @ @ @;;"693156584164319232";https://twitter.com/mysweeetBaybee/status/693156584164319232
;2016-01-30 03:35;0;0;"@ joavargas_1220 @ cfcpac @ Combat_Carl_911 @ giatny @ BernieSanders Listen, nothing you say will change D fact @ HillaryClinton is more qualified";;@ @ @ @ @ @;;"693155598758711296";https://twitter.com/mysweeetBaybee/status/693155598758711296
;2016-01-30 03:27;0;0;"@shortcirc_it @ cfcpac @ BernieSanders @ HillaryClinton that's what I love about our country. We R free 2 choose. Thanks 4 D pleasant exchange.";;@shortcirc_it @ @ @;;"693153441523306496";https://twitter.com/mysweeetBaybee/status/693153441523306496
;2016-01-30 03:15;0;1;"Mitt Romney had a 47 percent problem. Hillary Clinton’s problem is 43 percent. http://politi.co/1KKCyfr ' % zelfbenoemde socialisten # Iowa2016";;;#;"693150424543666176";https://twitter.com/Bertine83/status/693150424543666176
;2016-01-30 03:14;0;0;"@shortcirc_it @ cfcpac @ BernieSanders I've followed @ HillaryClinton for the past 25 years and strongly support her. # WeWontBeErased";;@shortcirc_it @ @ @;#;"693150342557597697";https://twitter.com/mysweeetBaybee/status/693150342557597697
;2016-01-30 03:07;0;0;"no different than hillary clinton @Holyoke, Massachusetts https://www.instagram.com/p/BBIlRuYwO5v/";;@Holyoke;;"693148431200686081";https://twitter.com/soccerplayer626/status/693148431200686081
;2016-01-30 03:02;0;0;"@ kwelkernbc @ HillaryClinton Hillary I like you but I do not like when you beat on bernie sander";;@ @;;"693147192769445889";https://twitter.com/Jessica26561834/status/693147192769445889
;2016-01-30 02:53;0;0;"Gwen Carr,Eric Garner,s mom endorsed Hillary,while her daughter endorses Sanders.Listen to your mother and learn Hillary's history with us.";;;;"693144891644366848";https://twitter.com/audreyj47001/status/693144891644366848
;2016-01-30 02:45;0;0;"# Hillary chasing in Iowa for @ ny1 @Grand View University https://www.instagram.com/p/BBIiuU5wgR5/";;@ @Grand;#;"693142818995474432";https://twitter.com/Brianne_barry/status/693142818995474432
;2016-01-30 02:41;0;0;"How can Hillary say she champion of the females when she bullied an went after the women her husband abused pic.twitter.com/qthVXV6J6n";;;;"693141929983369216";https://twitter.com/uga1943/status/693141929983369216
;2016-01-30 02:36;0;0;"@ toddstarnes that is true-he will expose them&trim govt I can vote cruz How would a Jeb potus b diff than hillary";;@;;"693140577789980672";https://twitter.com/LgLgarris62/status/693140577789980672
;2016-01-30 02:32;0;0;"# justmyopinion hey marco rubio, who are you to call Hillary Clinton dishonest, you got caught with hand in cookie jar";;;#;"693139645077549057";https://twitter.com/allison36033022/status/693139645077549057
;2016-01-30 02:29;0;0;"@ _metafizik @ katbyrd41 @ Jackson_Co_Dems @ thenation @ BernieSanders Reality is, Sanders fans will vote for Trump rather than @ HillaryClinton";;@ @ @ @ @ @;;"693138980301324289";https://twitter.com/mysweeetBaybee/status/693138980301324289
;2016-01-30 02:27;1;0;"@ JamesLewisMurr1 @ DrottM Absolutely But Lib Dems Run our Country MSM Protect them! If Hillary was Rep it would b Different Story! Not Right!";;@ @;;"693138468420059141";https://twitter.com/18cingirl/status/693138468420059141
;2016-01-30 02:11;0;0;"@taber_toothtigr @ cfcpac @ BernieSanders IF that was D case GOP wouldn't B fighting Hillary so hard. They want UR guy 2 win. WHY? # beatable";;@taber_toothtigr @ @;#;"693134357003943936";https://twitter.com/mysweeetBaybee/status/693134357003943936
;2016-01-30 02:10;0;0;"Hillary Clinton sharing her vision for America. # iowacaucusfever # getinvolved @Grand View… https://www.instagram.com/p/BBIeywmO_FQ/";;@Grand;# #;"693134187348373504";https://twitter.com/LaineMendenhall/status/693134187348373504
;2016-01-30 02:06;0;0;"@ Honest_Hillary thank you for following me Love your bio (:";;@;;"693133228643860480";https://twitter.com/BoonieKane/status/693133228643860480
;2016-01-30 01:41;0;0;"Another satisfied customer with a rush order needed in time for Monday. Hint: It's Hillary… https://www.instagram.com/p/BBIbcbSLOCk/";;;;"693126811748798464";https://twitter.com/P_MApparel/status/693126811748798464
;2016-01-30 01:30;0;0;"Hillary fan i arbejde @Grand View University https://www.instagram.com/p/BBIaMsrJ38R/";;@Grand;;"693124069454127105";https://twitter.com/kmouritzen/status/693124069454127105
;2016-01-30 01:18;3;8;""That’s the bottom line of the whole contest. Vote for Bernie: Send a message. Vote for Hillary: She knows how to make things work."";;;;"693121110276227073";https://twitter.com/rachelsklar/status/693121110276227073
;2016-01-30 00:54;0;0;"Verschil met @ HillaryClinton: @ ChrisChristie wil rijken minder social security (aow) uitkeren, Hillary wil ze meer voor belasten # Iowa2016";;@ @;#;"693114885232787457";https://twitter.com/Bertine83/status/693114885232787457
;2016-01-29 23:54;0;0;"@ chrislhayes Card carrying Democrat Chris. Same can be said for the woman you would drink her bath water- Hillary";;@;;"693099961794187264";https://twitter.com/DTWICK45/status/693099961794187264
